service_date,facility_id,outpatient_visits,emergency_arrivals,admissions,discharges,avg_ed_wait_minutes,avg_outpatient_wait_minutes,no_show_rate,bed_occupancy_rate,staff_hours,overtime_hours,patient_satisfaction_score,district_id,facility_type,ed_wait_variance_minutes,outpatient_wait_variance_minutes,high_occupancy_flag,access_risk_score
2025-01-01,F001,394,116,29,29,78,31,0.0742,0.8325,750.9,2.9,78.3,D01,Hospital,23,7,N,30.1
2025-01-01,F002,216,0,0,0,0,33,0.0655,0.0,90.7,0,75.7,D01,Community Clinic,0,11,N,25.8
2025-01-01,F003,444,110,28,25,75,31,0.0801,0.7774,894.7,0,77.1,D02,Hospital,15,5,N,35.5
2025-01-01,F004,231,107,3,3,54,18,0.0815,0.4574,274.3,0,75.3,D02,Urgent Care,16,-2,N,33.6
2025-01-01,F005,552,155,51,46,83,36,0.0795,0.8345,1228.8,3.5,71.0,D03,Hospital,25,11,N,37.1
2025-01-01,F006,204,0,0,0,0,23,0.0824,0.0,85.7,0,82.6,D03,Community Clinic,0,2,N,27.9
2025-01-01,F007,417,92,26,28,76,33,0.0627,0.81,784.8,0,76.2,D04,Hospital,20,8,N,26.7
2025-01-01,F008,180,0,0,0,0,25,0.0697,0.0,75.6,0,83.3,D04,Community Clinic,0,5,N,21.8
2025-01-01,F009,271,77,27,29,65,31,0.0565,0.8014,582.2,0,76.8,D05,Hospital,13,8,N,22.3
2025-01-01,F010,173,73,3,3,55,23,0.066,0.4174,201.7,0,79.6,D05,Urgent Care,21,4,N,23.4
2025-01-02,F001,370,88,24,26,71,31,0.0487,0.7511,691.1,0,74.6,D01,Hospital,16,7,N,25.5
2025-01-02,F002,196,0,0,0,0,28,0.068,0.0,82.3,0,84.1,D01,Community Clinic,0,6,N,23.8
2025-01-02,F003,533,172,58,53,103,28,0.0806,0.8738,1122.6,14.5,73.7,D02,Hospital,43,2,N,40.3
2025-01-02,F004,256,121,7,7,74,14,0.0917,0.5763,317.4,0,78.3,D02,Urgent Care,36,-6,N,39.2
2025-01-02,F005,606,163,40,36,79,26,0.0668,0.7855,1222.2,0,76.9,D03,Hospital,21,1,N,30.2
2025-01-02,F006,194,0,0,0,0,22,0.0646,0.0,81.5,0,85.8,D03,Community Clinic,0,1,N,25.4
2025-01-02,F007,400,97,32,29,68,32,0.0638,0.8292,804.2,2.3,78.5,D04,Hospital,12,7,N,24.6
2025-01-02,F008,183,0,0,0,0,34,0.0811,0.0,76.9,0,82.7,D04,Community Clinic,0,14,N,27.2
2025-01-02,F009,295,86,24,26,72,32,0.0678,0.8046,591.9,0,73.8,D05,Hospital,20,9,N,25.7
2025-01-02,F010,176,76,6,6,65,22,0.0667,0.3913,218.2,0,79.1,D05,Urgent Care,31,3,N,25.3
2025-01-03,F001,344,80,28,24,68,33,0.0869,0.7805,685.2,0,73.3,D01,Hospital,13,9,N,30.3
2025-01-03,F002,165,0,0,0,0,27,0.0825,0.0,69.3,0,80.0,D01,Community Clinic,0,5,N,25.1
2025-01-03,F003,547,148,37,38,73,36,0.0649,0.7944,1023.5,0,71.7,D02,Hospital,13,10,N,35.4
2025-01-03,F004,280,129,5,5,58,31,0.0685,0.4867,330.1,0,80.0,D02,Urgent Care,20,11,N,37.9
2025-01-03,F005,649,171,48,46,85,33,0.0894,0.7767,1285.4,0,70.2,D03,Hospital,27,8,N,37.4
2025-01-03,F006,249,0,0,0,0,26,0.0693,0.0,104.6,0,88.9,D03,Community Clinic,0,5,N,27.7
2025-01-03,F007,439,126,30,26,75,31,0.079,0.844,845.1,4.8,76.3,D04,Hospital,19,6,N,27.6
2025-01-03,F008,212,0,0,0,0,29,0.0527,0.0,89.0,0,85.1,D04,Community Clinic,0,9,N,21.6
2025-01-03,F009,313,72,25,22,75,34,0.0601,0.7699,592.5,0,79.7,D05,Hospital,23,11,N,26.3
2025-01-03,F010,182,70,3,3,63,30,0.0769,0.4686,203.8,0,79.6,D05,Urgent Care,29,11,N,29.7
2025-01-04,F001,346,87,28,26,79,28,0.0714,0.7957,693.0,0,78.6,D01,Hospital,24,4,N,28.6
2025-01-04,F002,156,0,0,0,0,27,0.0765,0.0,65.5,0,83.2,D01,Community Clinic,0,5,N,24.4
2025-01-04,F003,382,103,34,32,52,32,0.0934,0.7398,878.0,0,75.2,D02,Hospital,-8,6,N,34.2
2025-01-04,F004,213,98,3,3,68,28,0.0916,0.4114,255.8,0,76.9,D02,Urgent Care,30,8,N,41.5
2025-01-04,F005,405,98,25,26,65,25,0.0691,0.8162,989.9,0,76.2,D03,Hospital,7,0,N,27.0
2025-01-04,F006,176,0,0,0,0,33,0.0815,0.0,73.9,0,81.6,D03,Community Clinic,0,12,N,32.3
2025-01-04,F007,316,92,22,20,72,27,0.0557,0.7855,713.2,0,78.3,D04,Hospital,16,2,N,22.3
2025-01-04,F008,157,0,0,0,0,26,0.0746,0.0,65.9,0,78.4,D04,Community Clinic,0,6,N,22.9
2025-01-04,F009,254,69,22,23,67,24,0.0641,0.7923,545.2,0,78.5,D05,Hospital,15,1,N,20.5
2025-01-04,F010,150,65,3,3,56,22,0.0601,0.5894,181.4,0,78.5,D05,Urgent Care,22,3,N,22.5
2025-01-05,F001,322,89,30,27,60,27,0.0683,0.8031,689.7,0,78.3,D01,Hospital,5,3,N,23.6
2025-01-05,F002,168,0,0,0,0,23,0.0933,0.0,70.6,0,78.2,D01,Community Clinic,0,1,N,24.6
2025-01-05,F003,369,89,22,19,69,31,0.0831,0.8077,809.5,0,76.4,D02,Hospital,9,5,N,34.5
2025-01-05,F004,231,96,6,6,58,27,0.0794,0.5064,275.9,0,78.7,D02,Urgent Care,20,7,N,37.4
2025-01-05,F005,512,171,52,52,71,30,0.0623,0.8747,1226.0,13.9,78.3,D03,Hospital,13,5,N,29.7
2025-01-05,F006,185,0,0,0,0,27,0.0617,0.0,77.7,0,86.3,D03,Community Clinic,0,6,N,27.3
2025-01-05,F007,351,97,32,28,69,30,0.0598,0.8263,777.2,1.0,76.3,D04,Hospital,13,5,N,23.5
2025-01-05,F008,148,0,0,0,0,32,0.0611,0.0,62.2,0,79.7,D04,Community Clinic,0,12,N,23.9
2025-01-05,F009,281,74,22,23,77,26,0.0534,0.7641,564.9,0,76.4,D05,Hospital,25,3,N,22.4
2025-01-05,F010,140,59,2,2,53,16,0.0643,0.3465,166.2,0,82.9,D05,Urgent Care,19,-3,N,21.0
2025-01-06,F001,476,125,41,41,76,35,0.0664,0.869,852.5,13.4,74.6,D01,Hospital,21,11,N,30.5
2025-01-06,F002,246,0,0,0,0,35,0.0997,0.0,103.3,0,83.2,D01,Community Clinic,0,13,N,30.8
2025-01-06,F003,530,120,30,26,68,24,0.0834,0.8435,959.5,6.2,77.7,D02,Hospital,8,-2,N,32.1
2025-01-06,F004,312,143,7,7,80,34,0.0744,0.3973,369.1,0,74.3,D02,Urgent Care,42,14,N,44.8
2025-01-06,F005,741,246,70,74,101,32,0.0663,0.8649,1495.2,16.4,76.0,D03,Hospital,43,7,N,37.7
2025-01-06,F006,248,0,0,0,0,28,0.0802,0.0,104.2,0,82.5,D03,Community Clinic,0,7,N,29.9
2025-01-06,F007,486,153,52,50,70,30,0.0796,0.8691,984.6,14.5,73.9,D04,Hospital,14,5,N,26.1
2025-01-06,F008,182,0,0,0,0,16,0.0886,0.0,76.4,0,88.9,D04,Community Clinic,0,-4,N,21.8
2025-01-06,F009,372,104,26,28,81,30,0.0862,0.8301,659.4,1.6,74.7,D05,Hospital,29,7,N,29.0
2025-01-06,F010,190,77,2,2,56,23,0.0648,0.5428,210.8,0,76.3,D05,Urgent Care,22,4,N,23.5
2025-01-07,F001,366,121,34,35,75,24,0.0734,0.8141,760.2,0,76.6,D01,Hospital,20,0,N,26.2
2025-01-07,F002,179,0,0,0,0,22,0.0629,0.0,75.2,0,85.8,D01,Community Clinic,0,0,N,20.5
2025-01-07,F003,529,129,33,30,78,37,0.0881,0.8501,979.5,6.2,73.4,D02,Hospital,18,11,N,39.8
2025-01-07,F004,243,104,5,5,57,31,0.0725,0.514,286.0,0,76.6,D02,Urgent Care,19,11,N,38.1
2025-01-07,F005,602,187,46,46,87,32,0.0935,0.8032,1266.8,0,70.4,D03,Hospital,29,7,N,37.9
2025-01-07,F006,209,0,0,0,0,24,0.0823,0.0,87.8,0,83.0,D03,Community Clinic,0,3,N,28.4
2025-01-07,F007,425,99,30,31,64,26,0.0617,0.7823,811.8,0,80.9,D04,Hospital,8,1,N,20.8
