service_date,facility_id,facility_name,facility_type,district_id,district_name,outpatient_visits,emergency_arrivals,admissions,discharges,avg_ed_wait_minutes,avg_outpatient_wait_minutes,ed_wait_variance_minutes,outpatient_wait_variance_minutes,bed_occupancy_rate,high_occupancy_flag,staff_hours,overtime_hours,patient_satisfaction_score,access_risk_score
2025-01-01,F001,North Borough General Hospital,Hospital,D01,North Borough,394,116,29,29,78,31,23,7,0.8325,N,750.9,2.9,78.3,30.1
2025-01-01,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,216,0,0,0,0,33,0,11,0.0,N,90.7,0,75.7,25.8
2025-01-01,F003,East River Medical Center,Hospital,D02,East River,444,110,28,25,75,31,15,5,0.7774,N,894.7,0,77.1,35.5
2025-01-01,F004,Riverside Urgent Care,Urgent Care,D02,East River,231,107,3,3,54,18,16,-2,0.4574,N,274.3,0,75.3,33.6
2025-01-01,F005,Central City Health Campus,Hospital,D03,Central City,552,155,51,46,83,36,25,11,0.8345,N,1228.8,3.5,71.0,37.1
2025-01-01,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,204,0,0,0,0,23,0,2,0.0,N,85.7,0,82.6,27.9
2025-01-01,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,417,92,26,28,76,33,20,8,0.81,N,784.8,0,76.2,26.7
2025-01-01,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,180,0,0,0,0,25,0,5,0.0,N,75.6,0,83.3,21.8
2025-01-01,F009,West Hills Hospital,Hospital,D05,West Hills,271,77,27,29,65,31,13,8,0.8014,N,582.2,0,76.8,22.3
2025-01-01,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,173,73,3,3,55,23,21,4,0.4174,N,201.7,0,79.6,23.4
2025-01-02,F001,North Borough General Hospital,Hospital,D01,North Borough,370,88,24,26,71,31,16,7,0.7511,N,691.1,0,74.6,25.5
2025-01-02,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,196,0,0,0,0,28,0,6,0.0,N,82.3,0,84.1,23.8
2025-01-02,F003,East River Medical Center,Hospital,D02,East River,533,172,58,53,103,28,43,2,0.8738,N,1122.6,14.5,73.7,40.3
2025-01-02,F004,Riverside Urgent Care,Urgent Care,D02,East River,256,121,7,7,74,14,36,-6,0.5763,N,317.4,0,78.3,39.2
2025-01-02,F005,Central City Health Campus,Hospital,D03,Central City,606,163,40,36,79,26,21,1,0.7855,N,1222.2,0,76.9,30.2
2025-01-02,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,194,0,0,0,0,22,0,1,0.0,N,81.5,0,85.8,25.4
2025-01-02,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,400,97,32,29,68,32,12,7,0.8292,N,804.2,2.3,78.5,24.6
2025-01-02,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,183,0,0,0,0,34,0,14,0.0,N,76.9,0,82.7,27.2
2025-01-02,F009,West Hills Hospital,Hospital,D05,West Hills,295,86,24,26,72,32,20,9,0.8046,N,591.9,0,73.8,25.7
2025-01-02,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,176,76,6,6,65,22,31,3,0.3913,N,218.2,0,79.1,25.3
2025-01-03,F001,North Borough General Hospital,Hospital,D01,North Borough,344,80,28,24,68,33,13,9,0.7805,N,685.2,0,73.3,30.3
2025-01-03,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,165,0,0,0,0,27,0,5,0.0,N,69.3,0,80.0,25.1
2025-01-03,F003,East River Medical Center,Hospital,D02,East River,547,148,37,38,73,36,13,10,0.7944,N,1023.5,0,71.7,35.4
2025-01-03,F004,Riverside Urgent Care,Urgent Care,D02,East River,280,129,5,5,58,31,20,11,0.4867,N,330.1,0,80.0,37.9
2025-01-03,F005,Central City Health Campus,Hospital,D03,Central City,649,171,48,46,85,33,27,8,0.7767,N,1285.4,0,70.2,37.4
2025-01-03,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,249,0,0,0,0,26,0,5,0.0,N,104.6,0,88.9,27.7
2025-01-03,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,439,126,30,26,75,31,19,6,0.844,N,845.1,4.8,76.3,27.6
2025-01-03,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,212,0,0,0,0,29,0,9,0.0,N,89.0,0,85.1,21.6
2025-01-03,F009,West Hills Hospital,Hospital,D05,West Hills,313,72,25,22,75,34,23,11,0.7699,N,592.5,0,79.7,26.3
2025-01-03,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,182,70,3,3,63,30,29,11,0.4686,N,203.8,0,79.6,29.7
2025-01-04,F001,North Borough General Hospital,Hospital,D01,North Borough,346,87,28,26,79,28,24,4,0.7957,N,693.0,0,78.6,28.6
2025-01-04,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,156,0,0,0,0,27,0,5,0.0,N,65.5,0,83.2,24.4
2025-01-04,F003,East River Medical Center,Hospital,D02,East River,382,103,34,32,52,32,-8,6,0.7398,N,878.0,0,75.2,34.2
2025-01-04,F004,Riverside Urgent Care,Urgent Care,D02,East River,213,98,3,3,68,28,30,8,0.4114,N,255.8,0,76.9,41.5
2025-01-04,F005,Central City Health Campus,Hospital,D03,Central City,405,98,25,26,65,25,7,0,0.8162,N,989.9,0,76.2,27.0
2025-01-04,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,176,0,0,0,0,33,0,12,0.0,N,73.9,0,81.6,32.3
2025-01-04,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,316,92,22,20,72,27,16,2,0.7855,N,713.2,0,78.3,22.3
2025-01-04,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,157,0,0,0,0,26,0,6,0.0,N,65.9,0,78.4,22.9
2025-01-04,F009,West Hills Hospital,Hospital,D05,West Hills,254,69,22,23,67,24,15,1,0.7923,N,545.2,0,78.5,20.5
2025-01-04,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,150,65,3,3,56,22,22,3,0.5894,N,181.4,0,78.5,22.5
2025-01-05,F001,North Borough General Hospital,Hospital,D01,North Borough,322,89,30,27,60,27,5,3,0.8031,N,689.7,0,78.3,23.6
2025-01-05,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,168,0,0,0,0,23,0,1,0.0,N,70.6,0,78.2,24.6
2025-01-05,F003,East River Medical Center,Hospital,D02,East River,369,89,22,19,69,31,9,5,0.8077,N,809.5,0,76.4,34.5
2025-01-05,F004,Riverside Urgent Care,Urgent Care,D02,East River,231,96,6,6,58,27,20,7,0.5064,N,275.9,0,78.7,37.4
2025-01-05,F005,Central City Health Campus,Hospital,D03,Central City,512,171,52,52,71,30,13,5,0.8747,N,1226.0,13.9,78.3,29.7
2025-01-05,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,185,0,0,0,0,27,0,6,0.0,N,77.7,0,86.3,27.3
2025-01-05,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,351,97,32,28,69,30,13,5,0.8263,N,777.2,1.0,76.3,23.5
2025-01-05,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,148,0,0,0,0,32,0,12,0.0,N,62.2,0,79.7,23.9
2025-01-05,F009,West Hills Hospital,Hospital,D05,West Hills,281,74,22,23,77,26,25,3,0.7641,N,564.9,0,76.4,22.4
2025-01-05,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,140,59,2,2,53,16,19,-3,0.3465,N,166.2,0,82.9,21.0
2025-01-06,F001,North Borough General Hospital,Hospital,D01,North Borough,476,125,41,41,76,35,21,11,0.869,N,852.5,13.4,74.6,30.5
2025-01-06,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,246,0,0,0,0,35,0,13,0.0,N,103.3,0,83.2,30.8
2025-01-06,F003,East River Medical Center,Hospital,D02,East River,530,120,30,26,68,24,8,-2,0.8435,N,959.5,6.2,77.7,32.1
2025-01-06,F004,Riverside Urgent Care,Urgent Care,D02,East River,312,143,7,7,80,34,42,14,0.3973,N,369.1,0,74.3,44.8
2025-01-06,F005,Central City Health Campus,Hospital,D03,Central City,741,246,70,74,101,32,43,7,0.8649,N,1495.2,16.4,76.0,37.7
2025-01-06,F006,Downtown Preventive Health Center,Community Clinic,D03,Central City,248,0,0,0,0,28,0,7,0.0,N,104.2,0,82.5,29.9
2025-01-06,F007,South Lakes Regional Hospital,Hospital,D04,South Lakes,486,153,52,50,70,30,14,5,0.8691,N,984.6,14.5,73.9,26.1
2025-01-06,F008,Lakeview Community Clinic,Community Clinic,D04,South Lakes,182,0,0,0,0,16,0,-4,0.0,N,76.4,0,88.9,21.8
2025-01-06,F009,West Hills Hospital,Hospital,D05,West Hills,372,104,26,28,81,30,29,7,0.8301,N,659.4,1.6,74.7,29.0
2025-01-06,F010,Hillcrest Urgent Care,Urgent Care,D05,West Hills,190,77,2,2,56,23,22,4,0.5428,N,210.8,0,76.3,23.5
2025-01-07,F001,North Borough General Hospital,Hospital,D01,North Borough,366,121,34,35,75,24,20,0,0.8141,N,760.2,0,76.6,26.2
2025-01-07,F002,Northgate Community Clinic,Community Clinic,D01,North Borough,179,0,0,0,0,22,0,0,0.0,N,75.2,0,85.8,20.5
