week_start_date,district_id,district_name,age_group,eligible_population,appointments_booked,missed_appointments,walk_in_visits,doses_administered,completion_rate,immunization_no_show_rate,deprivation_index,elderly_pct
2025-01-06,D01,North Borough,0-4,4300,145,10,18,153,0.0356,0.069,0.37,0.142
2025-01-06,D01,North Borough,5-17,12029,468,30,47,485,0.0403,0.0641,0.37,0.142
2025-01-06,D01,North Borough,18-44,28648,1162,103,113,1172,0.0409,0.0886,0.37,0.142
2025-01-06,D01,North Borough,45-64,23700,633,50,66,649,0.0274,0.079,0.37,0.142
2025-01-06,D01,North Borough,65-74,8397,329,30,29,328,0.0391,0.0912,0.37,0.142
2025-01-06,D01,North Borough,75+,5990,230,14,20,236,0.0394,0.0609,0.37,0.142
2025-01-06,D02,East River,0-4,6535,167,14,22,175,0.0268,0.0838,0.58,0.119
2025-01-06,D02,East River,5-17,17481,556,50,39,545,0.0312,0.0899,0.58,0.119
2025-01-06,D02,East River,18-44,35047,1245,103,119,1261,0.036,0.0827,0.58,0.119
2025-01-06,D02,East River,45-64,27623,725,72,65,718,0.026,0.0993,0.58,0.119
2025-01-06,D02,East River,65-74,8913,377,40,28,365,0.041,0.1061,0.58,0.119
2025-01-06,D02,East River,75+,5323,265,27,30,268,0.0503,0.1019,0.58,0.119
2025-01-06,D03,Central City,0-4,9456,295,24,35,306,0.0324,0.0814,0.49,0.101
2025-01-06,D03,Central City,5-17,24681,670,54,61,677,0.0274,0.0806,0.49,0.101
2025-01-06,D03,Central City,18-44,53435,1852,149,196,1899,0.0355,0.0805,0.49,0.101
2025-01-06,D03,Central City,45-64,31582,1369,107,175,1437,0.0455,0.0782,0.49,0.101
2025-01-06,D03,Central City,65-74,11572,696,63,69,702,0.0607,0.0905,0.49,0.101
2025-01-06,D03,Central City,75+,7627,443,41,35,437,0.0573,0.0926,0.49,0.101
2025-01-06,D04,South Lakes,0-4,4338,146,10,11,147,0.0339,0.0685,0.32,0.173
2025-01-06,D04,South Lakes,5-17,13337,559,44,45,560,0.042,0.0787,0.32,0.173
2025-01-06,D04,South Lakes,18-44,25384,1005,85,71,991,0.039,0.0846,0.32,0.173
2025-01-06,D04,South Lakes,45-64,16683,713,53,73,733,0.0439,0.0743,0.32,0.173
2025-01-06,D04,South Lakes,65-74,6973,404,22,60,442,0.0634,0.0545,0.32,0.173
2025-01-06,D04,South Lakes,75+,5182,324,21,26,329,0.0635,0.0648,0.32,0.173
2025-01-06,D05,West Hills,0-4,3872,134,9,17,142,0.0367,0.0672,0.26,0.184
2025-01-06,D05,West Hills,5-17,10605,352,24,25,353,0.0333,0.0682,0.26,0.184
2025-01-06,D05,West Hills,18-44,24478,1060,82,75,1053,0.043,0.0774,0.26,0.184
2025-01-06,D05,West Hills,45-64,17842,496,37,42,501,0.0281,0.0746,0.26,0.184
2025-01-06,D05,West Hills,65-74,5686,287,19,35,303,0.0533,0.0662,0.26,0.184
2025-01-06,D05,West Hills,75+,4350,268,19,31,280,0.0644,0.0709,0.26,0.184
2025-01-13,D01,North Borough,0-4,5701,188,15,21,194,0.034,0.0798,0.37,0.142
2025-01-13,D01,North Borough,5-17,14489,401,29,34,406,0.028,0.0723,0.37,0.142
2025-01-13,D01,North Borough,18-44,27667,1171,94,104,1181,0.0427,0.0803,0.37,0.142
2025-01-13,D01,North Borough,45-64,23362,705,63,60,702,0.03,0.0894,0.37,0.142
2025-01-13,D01,North Borough,65-74,7032,328,21,39,346,0.0492,0.064,0.37,0.142
2025-01-13,D01,North Borough,75+,5460,260,17,37,280,0.0513,0.0654,0.37,0.142
2025-01-13,D02,East River,0-4,5862,182,16,24,190,0.0324,0.0879,0.58,0.119
2025-01-13,D02,East River,5-17,17183,634,61,79,652,0.0379,0.0962,0.58,0.119
2025-01-13,D02,East River,18-44,45048,1384,139,174,1419,0.0315,0.1004,0.58,0.119
2025-01-13,D02,East River,45-64,29350,1094,98,86,1082,0.0369,0.0896,0.58,0.119
2025-01-13,D02,East River,65-74,8499,448,41,34,441,0.0519,0.0915,0.58,0.119
2025-01-13,D02,East River,75+,6692,379,31,39,387,0.0578,0.0818,0.58,0.119
2025-01-13,D03,Central City,0-4,9595,255,20,34,269,0.028,0.0784,0.49,0.101
2025-01-13,D03,Central City,5-17,24165,997,77,90,1010,0.0418,0.0772,0.49,0.101
2025-01-13,D03,Central City,18-44,54961,2258,247,301,2312,0.0421,0.1094,0.49,0.101
2025-01-13,D03,Central City,45-64,36664,1114,102,121,1133,0.0309,0.0916,0.49,0.101
2025-01-13,D03,Central City,65-74,14831,565,43,41,563,0.038,0.0761,0.49,0.101
2025-01-13,D03,Central City,75+,10043,592,52,82,622,0.0619,0.0878,0.49,0.101
2025-01-13,D04,South Lakes,0-4,5271,167,13,24,178,0.0338,0.0778,0.32,0.173
2025-01-13,D04,South Lakes,5-17,11255,378,26,44,396,0.0352,0.0688,0.32,0.173
2025-01-13,D04,South Lakes,18-44,34159,1518,120,147,1545,0.0452,0.0791,0.32,0.173
2025-01-13,D04,South Lakes,45-64,20002,915,68,121,968,0.0484,0.0743,0.32,0.173
2025-01-13,D04,South Lakes,65-74,7029,443,33,36,446,0.0635,0.0745,0.32,0.173
2025-01-13,D04,South Lakes,75+,4895,189,11,24,202,0.0413,0.0582,0.32,0.173
2025-01-13,D05,West Hills,0-4,4043,158,11,15,162,0.0401,0.0696,0.26,0.184
2025-01-13,D05,West Hills,5-17,8787,376,22,37,391,0.0445,0.0585,0.26,0.184
2025-01-13,D05,West Hills,18-44,29321,1019,100,112,1031,0.0352,0.0981,0.26,0.184
2025-01-13,D05,West Hills,45-64,15345,646,46,58,658,0.0429,0.0712,0.26,0.184
2025-01-13,D05,West Hills,65-74,5704,339,19,41,361,0.0633,0.056,0.26,0.184
2025-01-13,D05,West Hills,75+,4864,263,22,37,278,0.0572,0.0837,0.26,0.184
2025-01-20,D01,North Borough,0-4,4911,148,14,10,144,0.0293,0.0946,0.37,0.142
2025-01-20,D01,North Borough,5-17,12626,540,36,67,571,0.0452,0.0667,0.37,0.142
2025-01-20,D01,North Borough,18-44,37202,1101,92,126,1135,0.0305,0.0836,0.37,0.142
2025-01-20,D01,North Borough,45-64,19677,608,34,60,634,0.0322,0.0559,0.37,0.142
2025-01-20,D01,North Borough,65-74,7084,444,27,59,476,0.0672,0.0608,0.37,0.142
2025-01-20,D01,North Borough,75+,6051,395,34,34,395,0.0653,0.0861,0.37,0.142
2025-01-20,D02,East River,0-4,5531,170,12,23,181,0.0327,0.0706,0.58,0.119
2025-01-20,D02,East River,5-17,15108,560,55,46,551,0.0365,0.0982,0.58,0.119
2025-01-20,D02,East River,18-44,43142,1806,159,247,1894,0.0439,0.088,0.58,0.119
2025-01-20,D02,East River,45-64,24952,812,76,66,802,0.0321,0.0936,0.58,0.119
2025-01-20,D02,East River,65-74,10854,650,70,94,674,0.0621,0.1077,0.58,0.119
2025-01-20,D02,East River,75+,6198,249,21,33,261,0.0421,0.0843,0.58,0.119
2025-01-20,D03,Central City,0-4,7228,277,27,39,289,0.04,0.0975,0.49,0.101
2025-01-20,D03,Central City,5-17,19783,819,56,79,842,0.0426,0.0684,0.49,0.101
2025-01-20,D03,Central City,18-44,49875,2094,183,273,2184,0.0438,0.0874,0.49,0.101
2025-01-20,D03,Central City,45-64,33983,1145,82,119,1182,0.0348,0.0716,0.49,0.101
2025-01-20,D03,Central City,65-74,11092,468,37,36,467,0.0421,0.0791,0.49,0.101
2025-01-20,D03,Central City,75+,8805,490,42,52,500,0.0568,0.0857,0.49,0.101
2025-01-20,D04,South Lakes,0-4,5187,229,16,25,238,0.0459,0.0699,0.32,0.173
2025-01-20,D04,South Lakes,5-17,10122,320,26,47,341,0.0337,0.0813,0.32,0.173
2025-01-20,D04,South Lakes,18-44,33529,1395,126,127,1396,0.0416,0.0903,0.32,0.173
2025-01-20,D04,South Lakes,45-64,16496,510,27,50,533,0.0323,0.0529,0.32,0.173
2025-01-20,D04,South Lakes,65-74,6074,269,18,19,270,0.0445,0.0669,0.32,0.173
2025-01-20,D04,South Lakes,75+,5390,338,25,42,355,0.0659,0.074,0.32,0.173
2025-01-20,D05,West Hills,0-4,3181,116,9,15,122,0.0384,0.0776,0.26,0.184
2025-01-20,D05,West Hills,5-17,9589,349,25,24,348,0.0363,0.0716,0.26,0.184
2025-01-20,D05,West Hills,18-44,24514,793,49,90,834,0.034,0.0618,0.26,0.184
2025-01-20,D05,West Hills,45-64,16306,762,53,95,804,0.0493,0.0696,0.26,0.184
2025-01-20,D05,West Hills,65-74,5246,329,31,33,331,0.0631,0.0942,0.26,0.184
2025-01-20,D05,West Hills,75+,3834,245,18,25,252,0.0657,0.0735,0.26,0.184
2025-01-27,D01,North Borough,0-4,4642,218,15,19,222,0.0478,0.0688,0.37,0.142
2025-01-27,D01,North Borough,5-17,13668,497,45,51,503,0.0368,0.0905,0.37,0.142
2025-01-27,D01,North Borough,18-44,34129,1566,142,134,1558,0.0457,0.0907,0.37,0.142
2025-01-27,D01,North Borough,45-64,21139,703,34,82,751,0.0355,0.0484,0.37,0.142
2025-01-27,D01,North Borough,65-74,9004,372,26,36,382,0.0424,0.0699,0.37,0.142
2025-01-27,D01,North Borough,75+,6007,401,35,47,413,0.0688,0.0873,0.37,0.142
2025-01-27,D02,East River,0-4,5469,224,19,25,230,0.0421,0.0848,0.58,0.119
2025-01-27,D02,East River,5-17,15477,570,53,74,591,0.0382,0.093,0.58,0.119
2025-01-27,D02,East River,18-44,39301,1641,152,216,1705,0.0434,0.0926,0.58,0.119
2025-01-27,D02,East River,45-64,28485,989,91,90,988,0.0347,0.092,0.58,0.119
2025-01-27,D02,East River,65-74,10763,488,41,72,519,0.0482,0.084,0.58,0.119
2025-01-27,D02,East River,75+,6346,349,30,44,363,0.0572,0.086,0.58,0.119
2025-01-27,D03,Central City,0-4,8343,350,28,38,360,0.0431,0.08,0.49,0.101
2025-01-27,D03,Central City,5-17,21465,653,69,91,675,0.0314,0.1057,0.49,0.101
2025-01-27,D03,Central City,18-44,57684,2655,218,288,2725,0.0472,0.0821,0.49,0.101
2025-01-27,D03,Central City,45-64,34181,1376,111,111,1376,0.0403,0.0807,0.49,0.101
2025-01-27,D03,Central City,65-74,12278,763,68,55,750,0.0611,0.0891,0.49,0.101
2025-01-27,D03,Central City,75+,8676,399,33,42,408,0.047,0.0827,0.49,0.101
2025-01-27,D04,South Lakes,0-4,5203,177,12,21,186,0.0357,0.0678,0.32,0.173
2025-01-27,D04,South Lakes,5-17,12807,420,27,51,444,0.0347,0.0643,0.32,0.173
2025-01-27,D04,South Lakes,18-44,30787,1293,96,117,1314,0.0427,0.0742,0.32,0.173
2025-01-27,D04,South Lakes,45-64,22223,1032,84,109,1057,0.0476,0.0814,0.32,0.173
2025-01-27,D04,South Lakes,65-74,7857,408,32,38,414,0.0527,0.0784,0.32,0.173
2025-01-27,D04,South Lakes,75+,5587,316,16,44,344,0.0616,0.0506,0.32,0.173
2025-01-27,D05,West Hills,0-4,4461,140,9,18,149,0.0334,0.0643,0.26,0.184
2025-01-27,D05,West Hills,5-17,11241,345,28,34,351,0.0312,0.0812,0.26,0.184
2025-01-27,D05,West Hills,18-44,23215,1078,69,82,1091,0.047,0.064,0.26,0.184
2025-01-27,D05,West Hills,45-64,18062,834,72,73,835,0.0462,0.0863,0.26,0.184
2025-01-27,D05,West Hills,65-74,5215,315,26,22,311,0.0596,0.0825,0.26,0.184
2025-01-27,D05,West Hills,75+,4414,238,18,34,254,0.0575,0.0756,0.26,0.184
2025-02-03,D01,North Borough,0-4,5413,201,15,22,208,0.0384,0.0746,0.37,0.142
2025-02-03,D01,North Borough,5-17,14572,548,42,64,570,0.0391,0.0766,0.37,0.142
2025-02-03,D01,North Borough,18-44,32273,1535,110,222,1647,0.051,0.0717,0.37,0.142
2025-02-03,D01,North Borough,45-64,18186,792,53,109,848,0.0466,0.0669,0.37,0.142
2025-02-03,D01,North Borough,65-74,8450,433,31,31,433,0.0512,0.0716,0.37,0.142
2025-02-03,D01,North Borough,75+,4570,244,19,35,260,0.0569,0.0779,0.37,0.142
2025-02-03,D02,East River,0-4,6060,263,24,32,271,0.0447,0.0913,0.58,0.119
2025-02-03,D02,East River,5-17,17928,825,75,95,845,0.0471,0.0909,0.58,0.119
2025-02-03,D02,East River,18-44,40795,1415,105,190,1500,0.0368,0.0742,0.58,0.119
2025-02-03,D02,East River,45-64,26427,867,79,99,887,0.0336,0.0911,0.58,0.119
2025-02-03,D02,East River,65-74,7766,407,43,58,422,0.0543,0.1057,0.58,0.119
