event_minute,facility_id,district_id,avg_wait_minutes,max_wait_minutes,avg_occupancy_rate,max_queue_depth,event_count,pressure_band
2025-06-30T08:00:00Z,F005,D03,76,76,0.9134,29,1,High
2025-06-30T08:05:00Z,F010,D05,43,43,0.3848,18,1,Watch
2025-06-30T08:10:00Z,F001,D01,61,61,0.803,21,1,Medium
2025-06-30T08:15:00Z,F006,D03,16,16,0,12,1,Watch
2025-06-30T08:20:00Z,F004,D02,56,56,0.5838,27,1,Watch
2025-06-30T08:25:00Z,F003,D02,68,68,0.8324,21,1,Medium
2025-06-30T08:30:00Z,F004,D02,56,56,0.6072,16,1,Watch
2025-06-30T08:35:00Z,F004,D02,49,49,0.656,14,1,Watch
2025-06-30T08:40:00Z,F009,D05,61,61,0.8435,29,1,Medium
2025-06-30T08:45:00Z,F003,D02,76,76,0.8236,32,1,High
2025-06-30T08:50:00Z,F006,D03,8,8,0,8,1,Watch
2025-06-30T08:55:00Z,F006,D03,0,0,0.0312,0,1,Watch
2025-06-30T09:00:00Z,F005,D03,66,66,0.8368,31,1,Medium
2025-06-30T09:05:00Z,F003,D02,71,71,0.7905,20,1,Medium
2025-06-30T09:10:00Z,F007,D04,77,77,0.7794,34,1,High
2025-06-30T09:15:00Z,F001,D01,79,79,0.8304,33,1,High
2025-06-30T09:20:00Z,F009,D05,63,63,0.8835,24,1,Medium
2025-06-30T09:25:00Z,F002,D01,13,13,0.0149,7,1,Watch
2025-06-30T09:30:00Z,F008,D04,0,0,0.0682,3,1,Watch
2025-06-30T09:35:00Z,F010,D05,53,53,0.3481,21,1,Watch
2025-06-30T09:40:00Z,F001,D01,70,70,0.8238,26,1,Medium
2025-06-30T09:45:00Z,F010,D05,42,42,0.4653,20,1,Watch
2025-06-30T09:50:00Z,F009,D05,75,75,0.8708,27,1,High
2025-06-30T09:55:00Z,F002,D01,16,16,0,14,1,Watch
2025-06-30T10:00:00Z,F009,D05,79,79,0.8911,23,1,High
2025-06-30T10:05:00Z,F005,D03,70,70,0.8243,21,1,Medium
2025-06-30T10:10:00Z,F001,D01,66,66,0.72,30,1,Medium
2025-06-30T10:15:00Z,F009,D05,60,60,0.9166,23,1,Medium
2025-06-30T10:20:00Z,F001,D01,60,60,0.8353,29,1,Medium
2025-06-30T10:25:00Z,F001,D01,70,70,0.8429,21,1,Medium
2025-06-30T10:30:00Z,F004,D02,66,66,0.5385,28,1,Medium
2025-06-30T10:35:00Z,F004,D02,59,59,0.6286,19,1,Watch
2025-06-30T10:40:00Z,F004,D02,46,46,0.5254,15,1,Watch
2025-06-30T10:45:00Z,F004,D02,53,53,0.5667,25,1,Watch
2025-06-30T10:50:00Z,F010,D05,35,35,0.3733,20,1,Watch
2025-06-30T10:55:00Z,F001,D01,78,78,0.725,31,1,High
2025-06-30T11:00:00Z,F004,D02,47,47,0.651,24,1,Watch
2025-06-30T11:05:00Z,F002,D01,0,0,0,5,1,Watch
2025-06-30T11:10:00Z,F003,D02,67,67,0.872,22,1,Medium
2025-06-30T11:15:00Z,F005,D03,77,77,0.8557,24,1,High
2025-06-30T11:20:00Z,F006,D03,4,4,0.0634,5,1,Watch
2025-06-30T11:25:00Z,F001,D01,74,74,0.762,31,1,Medium
2025-06-30T11:30:00Z,F009,D05,57,57,0.8636,16,1,Medium
