date_key,facility_key,district_key,pressure_band_key,outpatient_visits,emergency_arrivals,admissions,discharges,avg_ed_wait_minutes,avg_outpatient_wait_minutes,ed_wait_variance_minutes,outpatient_wait_variance_minutes,bed_occupancy_rate,high_occupancy_flag,staff_hours,overtime_hours,patient_satisfaction_score,access_risk_score
20250101,1,1,1,394,116,29,29,78,31,23,7,0.8325,N,750.9,2.9,78.3,30.1
20250101,2,1,1,216,0,0,0,0,33,0,11,0.0,N,90.7,0,75.7,25.8
20250101,3,2,2,444,110,28,25,75,31,15,5,0.7774,N,894.7,0,77.1,35.5
20250101,4,2,1,231,107,3,3,54,18,16,-2,0.4574,N,274.3,0,75.3,33.6
20250101,5,3,2,552,155,51,46,83,36,25,11,0.8345,N,1228.8,3.5,71.0,37.1
20250101,6,3,1,204,0,0,0,0,23,0,2,0.0,N,85.7,0,82.6,27.9
20250101,7,4,1,417,92,26,28,76,33,20,8,0.81,N,784.8,0,76.2,26.7
20250101,8,4,1,180,0,0,0,0,25,0,5,0.0,N,75.6,0,83.3,21.8
20250101,9,5,1,271,77,27,29,65,31,13,8,0.8014,N,582.2,0,76.8,22.3
20250101,10,5,1,173,73,3,3,55,23,21,4,0.4174,N,201.7,0,79.6,23.4
20250102,1,1,1,370,88,24,26,71,31,16,7,0.7511,N,691.1,0,74.6,25.5
20250102,2,1,1,196,0,0,0,0,28,0,6,0.0,N,82.3,0,84.1,23.8
20250102,3,2,2,533,172,58,53,103,28,43,2,0.8738,N,1122.6,14.5,73.7,40.3
20250102,4,2,2,256,121,7,7,74,14,36,-6,0.5763,N,317.4,0,78.3,39.2
20250102,5,3,1,606,163,40,36,79,26,21,1,0.7855,N,1222.2,0,76.9,30.2
20250102,6,3,1,194,0,0,0,0,22,0,1,0.0,N,81.5,0,85.8,25.4
20250102,7,4,1,400,97,32,29,68,32,12,7,0.8292,N,804.2,2.3,78.5,24.6
20250102,8,4,1,183,0,0,0,0,34,0,14,0.0,N,76.9,0,82.7,27.2
20250102,9,5,1,295,86,24,26,72,32,20,9,0.8046,N,591.9,0,73.8,25.7
20250102,10,5,1,176,76,6,6,65,22,31,3,0.3913,N,218.2,0,79.1,25.3
20250103,1,1,1,344,80,28,24,68,33,13,9,0.7805,N,685.2,0,73.3,30.3
20250103,2,1,1,165,0,0,0,0,27,0,5,0.0,N,69.3,0,80.0,25.1
20250103,3,2,2,547,148,37,38,73,36,13,10,0.7944,N,1023.5,0,71.7,35.4
20250103,4,2,2,280,129,5,5,58,31,20,11,0.4867,N,330.1,0,80.0,37.9
20250103,5,3,2,649,171,48,46,85,33,27,8,0.7767,N,1285.4,0,70.2,37.4
20250103,6,3,1,249,0,0,0,0,26,0,5,0.0,N,104.6,0,88.9,27.7
20250103,7,4,1,439,126,30,26,75,31,19,6,0.844,N,845.1,4.8,76.3,27.6
20250103,8,4,1,212,0,0,0,0,29,0,9,0.0,N,89.0,0,85.1,21.6
20250103,9,5,1,313,72,25,22,75,34,23,11,0.7699,N,592.5,0,79.7,26.3
20250103,10,5,1,182,70,3,3,63,30,29,11,0.4686,N,203.8,0,79.6,29.7
20250104,1,1,1,346,87,28,26,79,28,24,4,0.7957,N,693.0,0,78.6,28.6
20250104,2,1,1,156,0,0,0,0,27,0,5,0.0,N,65.5,0,83.2,24.4
20250104,3,2,1,382,103,34,32,52,32,-8,6,0.7398,N,878.0,0,75.2,34.2
20250104,4,2,2,213,98,3,3,68,28,30,8,0.4114,N,255.8,0,76.9,41.5
20250104,5,3,1,405,98,25,26,65,25,7,0,0.8162,N,989.9,0,76.2,27.0
20250104,6,3,1,176,0,0,0,0,33,0,12,0.0,N,73.9,0,81.6,32.3
20250104,7,4,1,316,92,22,20,72,27,16,2,0.7855,N,713.2,0,78.3,22.3
20250104,8,4,1,157,0,0,0,0,26,0,6,0.0,N,65.9,0,78.4,22.9
20250104,9,5,1,254,69,22,23,67,24,15,1,0.7923,N,545.2,0,78.5,20.5
20250104,10,5,1,150,65,3,3,56,22,22,3,0.5894,N,181.4,0,78.5,22.5
20250105,1,1,1,322,89,30,27,60,27,5,3,0.8031,N,689.7,0,78.3,23.6
20250105,2,1,1,168,0,0,0,0,23,0,1,0.0,N,70.6,0,78.2,24.6
20250105,3,2,1,369,89,22,19,69,31,9,5,0.8077,N,809.5,0,76.4,34.5
20250105,4,2,2,231,96,6,6,58,27,20,7,0.5064,N,275.9,0,78.7,37.4
20250105,5,3,1,512,171,52,52,71,30,13,5,0.8747,N,1226.0,13.9,78.3,29.7
20250105,6,3,1,185,0,0,0,0,27,0,6,0.0,N,77.7,0,86.3,27.3
20250105,7,4,1,351,97,32,28,69,30,13,5,0.8263,N,777.2,1.0,76.3,23.5
20250105,8,4,1,148,0,0,0,0,32,0,12,0.0,N,62.2,0,79.7,23.9
20250105,9,5,1,281,74,22,23,77,26,25,3,0.7641,N,564.9,0,76.4,22.4
20250105,10,5,1,140,59,2,2,53,16,19,-3,0.3465,N,166.2,0,82.9,21.0
20250106,1,1,1,476,125,41,41,76,35,21,11,0.869,N,852.5,13.4,74.6,30.5
20250106,2,1,1,246,0,0,0,0,35,0,13,0.0,N,103.3,0,83.2,30.8
20250106,3,2,1,530,120,30,26,68,24,8,-2,0.8435,N,959.5,6.2,77.7,32.1
20250106,4,2,2,312,143,7,7,80,34,42,14,0.3973,N,369.1,0,74.3,44.8
20250106,5,3,2,741,246,70,74,101,32,43,7,0.8649,N,1495.2,16.4,76.0,37.7
20250106,6,3,1,248,0,0,0,0,28,0,7,0.0,N,104.2,0,82.5,29.9
20250106,7,4,1,486,153,52,50,70,30,14,5,0.8691,N,984.6,14.5,73.9,26.1
20250106,8,4,1,182,0,0,0,0,16,0,-4,0.0,N,76.4,0,88.9,21.8
20250106,9,5,1,372,104,26,28,81,30,29,7,0.8301,N,659.4,1.6,74.7,29.0
20250106,10,5,1,190,77,2,2,56,23,22,4,0.5428,N,210.8,0,76.3,23.5
20250107,1,1,1,366,121,34,35,75,24,20,0,0.8141,N,760.2,0,76.6,26.2
20250107,2,1,1,179,0,0,0,0,22,0,0,0.0,N,75.2,0,85.8,20.5
20250107,3,2,2,529,129,33,30,78,37,18,11,0.8501,N,979.5,6.2,73.4,39.8
20250107,4,2,2,243,104,5,5,57,31,19,11,0.514,N,286.0,0,76.6,38.1
20250107,5,3,2,602,187,46,46,87,32,29,7,0.8032,N,1266.8,0,70.4,37.9
20250107,6,3,1,209,0,0,0,0,24,0,3,0.0,N,87.8,0,83.0,28.4
20250107,7,4,1,425,99,30,31,64,26,8,1,0.7823,N,811.8,0,80.9,20.8
20250107,8,4,1,191,0,0,0,0,31,0,11,0.0,N,80.2,0,84.1,24.5
20250107,9,5,1,332,106,27,29,82,30,30,7,0.8691,N,643.3,7.5,73.1,25.8
20250107,10,5,1,177,83,3,3,61,27,27,8,0.4357,N,213.4,0,75.9,29.5
20250108,1,1,1,379,98,30,28,72,25,17,1,0.7509,N,729.5,0,77.5,23.2
20250108,2,1,1,192,0,0,0,0,30,0,8,0.0,N,80.6,0,79.5,28.9
20250108,3,2,2,539,136,35,32,75,38,15,12,0.8135,N,999.7,0,77.4,38.5
20250108,4,2,2,245,97,6,6,62,29,24,9,0.5622,N,284.5,0,78.2,41.7
20250108,5,3,1,624,159,50,51,65,30,7,5,0.8417,N,1268.2,6.9,77.5,28.1
20250108,6,3,1,252,0,0,0,0,26,0,5,0.0,N,105.8,0,85.0,30.2
20250108,7,4,1,415,101,25,25,66,28,10,3,0.7914,N,788.2,0,74.8,25.5
20250108,8,4,1,198,0,0,0,0,28,0,8,0.0,N,83.2,0,80.6,22.9
20250108,9,5,1,262,81,26,25,70,26,18,3,0.8166,N,577.0,0,74.5,23.4
20250108,10,5,1,182,70,3,3,57,25,23,6,0.4067,N,203.8,0,80.7,24.0
20250109,1,1,1,340,111,29,28,80,32,25,8,0.8425,N,716.5,3.4,77.9,28.5
20250109,2,1,1,211,0,0,0,0,32,0,10,0.0,N,88.6,0,87.0,22.6
20250109,3,2,1,448,139,44,45,85,24,25,-2,0.8319,N,988.5,2.4,79.5,34.5
